block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,53.167708,84.508333,31.340625,702
1,2,100.727083,132.992708,32.265625,754
1,3,163.402083,194.903125,31.501042,702
2,4,374.597917,406.191667,31.593750,704
2,5,417.326042,446.645833,29.319792,656
2,6,462.346875,496.468750,34.121875,706
3,7,663.995833,695.266667,31.270833,702
3,8,704.978125,709.318750,4.340625,46
3,9,711.190625,742.922917,31.732292,718
3,10,754.035417,784.855208,30.819792,636
4,11,967.923958,999.498958,31.575000,692
4,12,1009.481250,1040.651042,31.169792,696
4,13,1050.665625,1081.853125,31.187500,680
5,14,1259.867708,1290.938542,31.070833,692
5,15,1300.354167,1331.572917,31.218750,686
5,16,1344.640625,1376.444792,31.804167,672
