block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,27.629167,62.189583,34.560417,802
1,2,95.435417,128.088542,32.653125,748
1,3,143.344792,146.620833,3.276042,52
1,4,149.607292,179.372917,29.765625,664
1,5,181.262500,185.796875,4.534375,50
2,6,247.839583,255.973958,8.134375,102
2,7,257.121875,260.893750,3.771875,32
2,8,265.459375,269.021875,3.562500,44
2,9,272.762500,278.242708,5.480208,70
2,10,282.207292,286.712500,4.505208,50
2,11,289.802083,296.322917,6.520833,80
2,12,298.967708,308.004167,9.036458,90
2,13,317.630208,324.735417,7.105208,96
2,14,327.353125,358.855208,31.502083,782
2,15,382.990625,415.910417,32.919792,728
2,16,429.306250,432.625000,3.318750,56
2,17,434.137500,466.737500,32.600000,738
2,18,472.151042,478.111458,5.960417,66
3,19,557.432292,570.827083,13.394792,117
3,20,571.891667,625.198958,53.307292,623
3,21,626.209375,657.979167,31.769792,808
3,22,693.113542,742.122917,49.009375,1064
3,23,755.751042,759.504167,3.753125,54
3,24,761.108333,806.984375,45.876042,998
3,25,808.119792,813.757292,5.637500,76
4,26,883.250000,886.771875,3.521875,47
4,27,888.430208,895.657292,7.227083,91
4,28,897.160417,901.447917,4.287500,88
4,29,903.910417,908.722917,4.812500,52
4,30,910.404167,921.714583,11.310417,116
4,31,933.234375,962.173958,28.939583,736
4,32,963.209375,973.130208,9.920833,126
4,33,998.619792,1036.839583,38.219792,888
4,34,1053.479167,1057.479167,4.000000,58
4,35,1059.648958,1097.339583,37.690625,758
4,36,1146.789583,1152.698958,5.909375,50
4,37,1159.540625,1163.241667,3.701042,62
4,38,1171.459375,1174.717708,3.258333,28
4,39,1176.819792,1187.552083,10.732292,106
4,40,1191.458333,1205.369792,13.911458,192
4,41,1206.769792,1215.041667,8.271875,104
4,42,1226.459375,1230.756250,4.296875,50
4,43,1233.013542,1237.132292,4.118750,76
4,44,1268.722917,1319.060417,50.337500,1112
4,45,1343.423958,1375.850000,32.426042,740
4,46,1394.529167,1397.835417,3.306250,54
4,47,1399.654167,1434.871875,35.217708,760
