block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,56.748958,89.202083,32.453125,796
1,2,131.466667,171.580208,40.113542,872
1,3,204.847917,209.051042,4.203125,68
1,4,219.570833,264.821875,45.251042,996
1,5,266.181250,270.422917,4.241667,52
2,6,344.967708,353.045833,8.078125,70
2,7,382.366667,386.852083,4.485417,24
2,8,387.995833,396.757292,8.761458,86
2,9,426.646875,430.397917,3.751042,48
2,10,434.925000,478.520833,43.595833,1046
2,11,510.025000,542.282292,32.257292,781
2,12,563.263542,600.660417,37.396875,788
2,13,630.581250,634.155208,3.573958,36
2,14,640.037500,649.005208,8.967708,100
2,15,656.181250,661.456250,5.275000,78
2,16,671.451042,674.612500,3.161458,52
2,17,717.773958,750.479167,32.705208,788
2,18,781.976042,815.815625,33.839583,746
2,19,841.573958,845.021875,3.447917,54
2,20,849.253125,884.013542,34.760417,754
2,21,887.412500,891.632292,4.219792,50
2,22,931.456250,935.412500,3.956250,48
2,23,986.056250,993.071875,7.015625,77
2,24,994.196875,998.677083,4.480208,59
2,25,1016.732292,1053.665625,36.933333,856
2,26,1093.468750,1134.662500,41.193750,906
2,27,1157.363542,1160.909375,3.545833,54
2,28,1169.502083,1220.207292,50.705208,1066
3,29,1295.782292,1311.756250,15.973958,195
3,30,1320.057292,1358.426042,38.368750,840
3,31,1389.262500,1425.341667,36.079167,836
3,32,1444.172917,1447.293750,3.120833,50
3,33,1452.094792,1498.707292,46.612500,980
3,34,1520.720833,1531.427083,10.706250,150
3,35,1532.729167,1538.709375,5.980208,70
