block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,63.694792,94.957292,31.262500,702
1,2,112.453125,143.071875,30.618750,572
1,3,147.311458,151.230208,3.918750,106
1,4,159.846875,164.216667,4.369792,54
1,5,167.771875,197.504167,29.732292,584
2,6,383.027083,413.959375,30.932292,746
2,7,419.379167,424.278125,4.898958,33
2,8,431.816667,462.739583,30.922917,636
2,9,474.961458,478.784375,3.822917,54
2,10,481.543750,512.619792,31.076042,678
3,11,668.479167,699.358333,30.879167,786
3,12,715.294792,746.595833,31.301042,752
3,13,755.822917,759.821875,3.998958,52
3,14,763.862500,794.860417,30.997917,666
4,15,987.564583,1018.878125,31.313542,804
4,16,1035.510417,1066.128125,30.617708,752
4,17,1068.205208,1072.152083,3.946875,136
4,18,1074.155208,1077.511458,3.356250,58
4,19,1080.090625,1110.920833,30.830208,652
5,20,1351.288542,1382.793750,31.505208,814
5,21,1400.589583,1431.727083,31.137500,794
5,22,1433.936458,1438.236458,4.300000,134
5,23,1439.527083,1442.834375,3.307292,54
5,24,1445.163542,1476.309375,31.145833,670
