block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,42.686458,72.880208,30.193750,882
1,2,97.663542,128.185417,30.521875,858
1,3,144.984375,175.825000,30.840625,676
2,4,358.548958,389.548958,31.000000,910
2,5,426.463542,460.040625,33.577083,976
2,6,482.268750,513.336458,31.067708,620
3,7,660.048958,690.883333,30.834375,900
3,8,725.209375,756.436458,31.227083,876
3,9,784.861458,815.688542,30.827083,662
4,10,1095.847917,1126.389583,30.541667,878
4,11,1159.462500,1190.491667,31.029167,886
4,12,1219.026042,1249.914583,30.888542,650
5,13,1418.770833,1458.385417,39.614583,1130
5,14,1487.780208,1519.225000,31.444792,858
5,15,1542.437500,1573.486458,31.048958,662
