file,block,exercise_index,exercise,midi_start_from_anchor_sec,midi_end_from_anchor_sec,emg_start_sec,emg_end_sec,duration_sec,emg_rms_mv,sample_count,source,midi_anchor_lowest_note_sec,emg_anchor_imu_punch_sec
001cold_01.csv,1,1,C major scale 1 octave up/down,13.800000,45.587500,24.573000,56.360500,31.787500,0.21506197,40029,midi_notes,1.832292,10.773000
001cold_01.csv,1,2,Max loudness chords,45.587500,56.492708,56.360500,67.265708,10.905208,0.08437661,13732,inferred_gap_no_midi_notes,1.832292,10.773000
001cold_01.csv,1,3,"Hold G, 321",56.492708,87.611458,67.265708,98.384458,31.118750,0.17701110,39187,midi_notes,1.832292,10.773000
001cold_01.csv,1,4,Chromatic octaves,90.258333,91.830208,101.031333,102.603208,1.571875,0.27876842,1980,midi_notes,1.832292,10.773000
001cold_01.csv,1,5,C major arpeggios,94.644792,95.702083,105.417792,106.475083,1.057292,0.23239178,1331,midi_notes,1.832292,10.773000
001cold_01.csv,1,6,Anchored trill,97.992708,128.686458,108.765708,139.459458,30.693750,0.09079050,38651,midi_notes,1.832292,10.773000
001cold_01.csv,2,1,C major scale 1 octave up/down,320.493750,354.135417,331.266750,364.908417,33.641667,0.20732147,42364,midi_notes,1.832292,10.773000
001cold_01.csv,2,2,Max loudness chords,354.135417,363.460417,364.908417,374.233417,9.325000,0.09678153,11742,inferred_gap_no_midi_notes,1.832292,10.773000
001cold_01.csv,2,3,"Hold G, 321",363.460417,394.194792,374.233417,404.967792,30.734375,0.17458900,38703,midi_notes,1.832292,10.773000
001cold_01.csv,2,4,Chromatic octaves,396.612500,401.322917,407.385500,412.095917,4.710417,0.23875757,5932,midi_notes,1.832292,10.773000
001cold_01.csv,2,5,C major arpeggios,403.657292,404.757292,414.430292,415.530292,1.100000,0.19509404,1385,midi_notes,1.832292,10.773000
001cold_01.csv,2,6,Anchored trill,406.872917,437.245833,417.645917,448.018833,30.372917,0.09134765,38247,midi_notes,1.832292,10.773000
001cold_01.csv,3,1,C major scale 1 octave up/down,618.433333,649.353125,629.206333,660.126125,30.919792,0.20255760,38936,midi_notes,1.832292,10.773000
001cold_01.csv,3,2,Max loudness chords,649.353125,658.700000,660.126125,669.473000,9.346875,0.09945423,11771,inferred_gap_no_midi_notes,1.832292,10.773000
001cold_01.csv,3,3,"Hold G, 321",658.700000,689.147917,669.473000,699.920917,30.447917,0.17519853,38341,midi_notes,1.832292,10.773000
001cold_01.csv,3,4,Chromatic octaves,691.356250,696.301042,702.129250,707.074042,4.944792,0.22197037,6227,midi_notes,1.832292,10.773000
001cold_01.csv,3,5,C major arpeggios,698.914583,702.220833,709.687583,712.993833,3.306250,0.16729861,4164,midi_notes,1.832292,10.773000
001cold_01.csv,3,6,Anchored trill,705.107292,735.905208,715.880292,746.678208,30.797917,0.07798775,38783,midi_notes,1.832292,10.773000
001cold_01.csv,4,1,C major scale 1 octave up/down,923.784375,955.037500,934.557375,965.810500,31.253125,0.21356742,39355,midi_notes,1.832292,10.773000
001cold_01.csv,4,2,Max loudness chords,955.037500,964.097917,965.810500,974.870917,9.060417,0.09970249,11410,inferred_gap_no_midi_notes,1.832292,10.773000
001cold_01.csv,4,3,"Hold G, 321",964.097917,994.384375,974.870917,1005.157375,30.286458,0.18867484,38138,midi_notes,1.832292,10.773000
001cold_01.csv,4,4,Chromatic octaves,996.586458,1001.329167,1007.359458,1012.102167,4.742708,0.24334554,5973,midi_notes,1.832292,10.773000
001cold_01.csv,4,5,C major arpeggios,1003.575000,1006.809375,1014.348000,1017.582375,3.234375,0.17424734,4073,midi_notes,1.832292,10.773000
001cold_01.csv,4,6,Anchored trill,1008.975000,1039.779167,1019.748000,1050.552167,30.804167,0.09850668,38790,midi_notes,1.832292,10.773000
001cold_01.csv,5,1,C major scale 1 octave up/down,1222.939583,1256.038542,1233.712583,1266.811542,33.098958,0.20694956,41681,midi_notes,1.832292,10.773000
001cold_01.csv,5,2,Max loudness chords,1256.038542,1266.029167,1266.811542,1276.802167,9.990625,0.09888517,12580,inferred_gap_no_midi_notes,1.832292,10.773000
001cold_01.csv,5,3,"Hold G, 321",1266.029167,1297.053125,1276.802167,1307.826125,31.023958,0.18087077,39068,midi_notes,1.832292,10.773000
001cold_01.csv,5,4,Chromatic octaves,1298.911458,1300.497917,1309.684458,1311.270917,1.586458,0.27133123,1998,midi_notes,1.832292,10.773000
001cold_01.csv,5,5,C major arpeggios,1302.095833,1306.161458,1312.868833,1316.934458,4.065625,0.14810763,5119,midi_notes,1.832292,10.773000
001cold_01.csv,5,6,Anchored trill,1309.513542,1339.850000,1320.286542,1350.623000,30.336458,0.08613794,38201,midi_notes,1.832292,10.773000
