block,exercise_index,exercise,midi_start_sec,midi_end_sec,midi_start_from_anchor_sec,midi_end_from_anchor_sec,duration_sec,source,midi_anchor_lowest_note_sec
1,1,C major scale 1 octave up/down,15.632292,47.419792,13.800000,45.587500,31.787500,midi_notes,1.832292
1,2,Max loudness chords,47.419792,58.325000,45.587500,56.492708,10.905208,inferred_gap_no_midi_notes,1.832292
1,3,"Hold G, 321",58.325000,89.443750,56.492708,87.611458,31.118750,midi_notes,1.832292
1,4,Chromatic octaves,92.090625,93.662500,90.258333,91.830208,1.571875,midi_notes,1.832292
1,5,C major arpeggios,96.477083,97.534375,94.644792,95.702083,1.057292,midi_notes,1.832292
1,6,Anchored trill,99.825000,130.518750,97.992708,128.686458,30.693750,midi_notes,1.832292
2,1,C major scale 1 octave up/down,322.326042,355.967708,320.493750,354.135417,33.641667,midi_notes,1.832292
2,2,Max loudness chords,355.967708,365.292708,354.135417,363.460417,9.325000,inferred_gap_no_midi_notes,1.832292
2,3,"Hold G, 321",365.292708,396.027083,363.460417,394.194792,30.734375,midi_notes,1.832292
2,4,Chromatic octaves,398.444792,403.155208,396.612500,401.322917,4.710417,midi_notes,1.832292
2,5,C major arpeggios,405.489583,406.589583,403.657292,404.757292,1.100000,midi_notes,1.832292
2,6,Anchored trill,408.705208,439.078125,406.872917,437.245833,30.372917,midi_notes,1.832292
3,1,C major scale 1 octave up/down,620.265625,651.185417,618.433333,649.353125,30.919792,midi_notes,1.832292
3,2,Max loudness chords,651.185417,660.532292,649.353125,658.700000,9.346875,inferred_gap_no_midi_notes,1.832292
3,3,"Hold G, 321",660.532292,690.980208,658.700000,689.147917,30.447917,midi_notes,1.832292
3,4,Chromatic octaves,693.188542,698.133333,691.356250,696.301042,4.944792,midi_notes,1.832292
3,5,C major arpeggios,700.746875,704.053125,698.914583,702.220833,3.306250,midi_notes,1.832292
3,6,Anchored trill,706.939583,737.737500,705.107292,735.905208,30.797917,midi_notes,1.832292
4,1,C major scale 1 octave up/down,925.616667,956.869792,923.784375,955.037500,31.253125,midi_notes,1.832292
4,2,Max loudness chords,956.869792,965.930208,955.037500,964.097917,9.060417,inferred_gap_no_midi_notes,1.832292
4,3,"Hold G, 321",965.930208,996.216667,964.097917,994.384375,30.286458,midi_notes,1.832292
4,4,Chromatic octaves,998.418750,1003.161458,996.586458,1001.329167,4.742708,midi_notes,1.832292
4,5,C major arpeggios,1005.407292,1008.641667,1003.575000,1006.809375,3.234375,midi_notes,1.832292
4,6,Anchored trill,1010.807292,1041.611458,1008.975000,1039.779167,30.804167,midi_notes,1.832292
5,1,C major scale 1 octave up/down,1224.771875,1257.870833,1222.939583,1256.038542,33.098958,midi_notes,1.832292
5,2,Max loudness chords,1257.870833,1267.861458,1256.038542,1266.029167,9.990625,inferred_gap_no_midi_notes,1.832292
5,3,"Hold G, 321",1267.861458,1298.885417,1266.029167,1297.053125,31.023958,midi_notes,1.832292
5,4,Chromatic octaves,1300.743750,1302.330208,1298.911458,1300.497917,1.586458,midi_notes,1.832292
5,5,C major arpeggios,1303.928125,1307.993750,1302.095833,1306.161458,4.065625,midi_notes,1.832292
5,6,Anchored trill,1311.345833,1341.682292,1309.513542,1339.850000,30.336458,midi_notes,1.832292
