file,block,exercise_index,exercise,midi_start_from_anchor_sec,midi_end_from_anchor_sec,emg_start_sec,emg_end_sec,duration_sec,emg_rms_mv,sample_count,source,midi_anchor_lowest_note_sec,emg_anchor_imu_punch_sec
001warm_01.csv,1,1,C major scale 1 octave up/down,17.994792,49.248958,20.573292,51.827458,31.254167,0.03978162,39357,midi_notes,35.172917,2.578500
001warm_01.csv,1,2,Max loudness chords,49.248958,65.906250,51.827458,68.484750,16.657292,0.05024567,20976,inferred_gap_no_midi_notes,35.172917,2.578500
001warm_01.csv,1,3,"Hold G, 321",65.906250,97.605208,68.484750,100.183708,31.698958,0.21379122,39917,midi_notes,35.172917,2.578500
001warm_01.csv,1,4,Chromatic octaves,104.863542,106.452083,107.442042,109.030583,1.588542,0.09367225,2000,midi_notes,35.172917,2.578500
001warm_01.csv,1,5,C major arpeggios,115.208333,120.290625,117.786833,122.869125,5.082292,0.16650012,6400,midi_notes,35.172917,2.578500
001warm_01.csv,1,6,Anchored trill,128.644792,159.592708,131.223292,162.171208,30.947917,0.14618801,38971,midi_notes,35.172917,2.578500
001warm_01.csv,2,1,C major scale 1 octave up/down,339.425000,370.956250,342.003500,373.534750,31.531250,0.01664678,39706,midi_notes,35.172917,2.578500
001warm_01.csv,2,2,Max loudness chords,370.956250,382.772917,373.534750,385.351417,11.816667,0.01234662,14880,inferred_gap_no_midi_notes,35.172917,2.578500
001warm_01.csv,2,3,"Hold G, 321",382.772917,411.256250,385.351417,413.834750,28.483333,0.17973233,35868,midi_notes,35.172917,2.578500
001warm_01.csv,2,4,Chromatic octaves,415.038542,416.600000,417.617042,419.178500,1.561458,0.20570173,1966,midi_notes,35.172917,2.578500
001warm_01.csv,2,5,C major arpeggios,420.153125,423.561458,422.731625,426.139958,3.408333,0.12680337,4292,midi_notes,35.172917,2.578500
001warm_01.csv,2,6,Anchored trill,427.756250,461.072917,430.334750,463.651417,33.316667,0.15484636,41954,midi_notes,35.172917,2.578500
001warm_01.csv,3,1,C major scale 1 octave up/down,628.822917,660.026042,631.401417,662.604542,31.203125,0.01467287,39292,midi_notes,35.172917,2.578500
001warm_01.csv,3,2,Max loudness chords,660.026042,676.697917,662.604542,679.276417,16.671875,0.01182539,20995,inferred_gap_no_midi_notes,35.172917,2.578500
001warm_01.csv,3,3,"Hold G, 321",676.697917,707.588542,679.276417,710.167042,30.890625,0.18577584,38899,midi_notes,35.172917,2.578500
001warm_01.csv,3,4,Chromatic octaves,710.356250,711.948958,712.934750,714.527458,1.592708,0.07013009,2006,midi_notes,35.172917,2.578500
001warm_01.csv,3,5,C major arpeggios,715.192708,716.262500,717.771208,718.841000,1.069792,0.01361847,1347,midi_notes,35.172917,2.578500
001warm_01.csv,3,6,Anchored trill,719.438542,749.581250,722.017042,752.159750,30.142708,0.14773822,37958,midi_notes,35.172917,2.578500
001warm_01.csv,4,1,C major scale 1 octave up/down,932.751042,964.263542,935.329542,966.842042,31.512500,0.02059056,39682,midi_notes,35.172917,2.578500
001warm_01.csv,4,2,Max loudness chords,964.263542,974.831250,966.842042,977.409750,10.567708,0.01033284,13308,inferred_gap_no_midi_notes,35.172917,2.578500
001warm_01.csv,4,3,"Hold G, 321",974.831250,1005.371875,977.409750,1007.950375,30.540625,0.16085355,38458,midi_notes,35.172917,2.578500
001warm_01.csv,4,4,Chromatic octaves,1008.540625,1010.071875,1011.119125,1012.650375,1.531250,0.18776273,1928,midi_notes,35.172917,2.578500
001warm_01.csv,4,5,C major arpeggios,1012.472917,1013.506250,1015.051417,1016.084750,1.033333,0.19338899,1302,midi_notes,35.172917,2.578500
001warm_01.csv,4,6,Anchored trill,1016.052083,1046.571875,1018.630583,1049.150375,30.519792,0.14406771,38433,midi_notes,35.172917,2.578500
001warm_01.csv,5,1,C major scale 1 octave up/down,1224.694792,1255.678125,1227.273292,1258.256625,30.983333,0.00936925,39016,midi_notes,35.172917,2.578500
001warm_01.csv,5,2,Max loudness chords,1255.678125,1265.861458,1258.256625,1268.439958,10.183333,0.00897130,12823,inferred_gap_no_midi_notes,35.172917,2.578500
001warm_01.csv,5,3,"Hold G, 321",1265.861458,1296.282292,1268.439958,1298.860792,30.420833,0.15723586,38308,midi_notes,35.172917,2.578500
001warm_01.csv,5,4,Chromatic octaves,1298.902083,1300.431250,1301.480583,1303.009750,1.529167,0.18707583,1926,midi_notes,35.172917,2.578500
001warm_01.csv,5,5,C major arpeggios,1306.063542,1307.105208,1308.642042,1309.683708,1.041667,0.09326572,1312,midi_notes,35.172917,2.578500
001warm_01.csv,5,6,Anchored trill,1310.011458,1341.119792,1312.589958,1343.698292,31.108333,0.13786954,39173,midi_notes,35.172917,2.578500
