block,exercise_index,exercise,midi_start_sec,midi_end_sec,midi_start_from_anchor_sec,midi_end_from_anchor_sec,duration_sec,source,midi_anchor_lowest_note_sec
1,1,C major scale 1 octave up/down,53.167708,84.421875,17.994792,49.248958,31.254167,midi_notes,35.172917
1,2,Max loudness chords,84.421875,101.079167,49.248958,65.906250,16.657292,inferred_gap_no_midi_notes,35.172917
1,3,"Hold G, 321",101.079167,132.778125,65.906250,97.605208,31.698958,midi_notes,35.172917
1,4,Chromatic octaves,140.036458,141.625000,104.863542,106.452083,1.588542,midi_notes,35.172917
1,5,C major arpeggios,150.381250,155.463542,115.208333,120.290625,5.082292,midi_notes,35.172917
1,6,Anchored trill,163.817708,194.765625,128.644792,159.592708,30.947917,midi_notes,35.172917
2,1,C major scale 1 octave up/down,374.597917,406.129167,339.425000,370.956250,31.531250,midi_notes,35.172917
2,2,Max loudness chords,406.129167,417.945833,370.956250,382.772917,11.816667,inferred_gap_no_midi_notes,35.172917
2,3,"Hold G, 321",417.945833,446.429167,382.772917,411.256250,28.483333,midi_notes,35.172917
2,4,Chromatic octaves,450.211458,451.772917,415.038542,416.600000,1.561458,midi_notes,35.172917
2,5,C major arpeggios,455.326042,458.734375,420.153125,423.561458,3.408333,midi_notes,35.172917
2,6,Anchored trill,462.929167,496.245833,427.756250,461.072917,33.316667,midi_notes,35.172917
3,1,C major scale 1 octave up/down,663.995833,695.198958,628.822917,660.026042,31.203125,midi_notes,35.172917
3,2,Max loudness chords,695.198958,711.870833,660.026042,676.697917,16.671875,inferred_gap_no_midi_notes,35.172917
3,3,"Hold G, 321",711.870833,742.761458,676.697917,707.588542,30.890625,midi_notes,35.172917
3,4,Chromatic octaves,745.529167,747.121875,710.356250,711.948958,1.592708,midi_notes,35.172917
3,5,C major arpeggios,750.365625,751.435417,715.192708,716.262500,1.069792,midi_notes,35.172917
3,6,Anchored trill,754.611458,784.754167,719.438542,749.581250,30.142708,midi_notes,35.172917
4,1,C major scale 1 octave up/down,967.923958,999.436458,932.751042,964.263542,31.512500,midi_notes,35.172917
4,2,Max loudness chords,999.436458,1010.004167,964.263542,974.831250,10.567708,inferred_gap_no_midi_notes,35.172917
4,3,"Hold G, 321",1010.004167,1040.544792,974.831250,1005.371875,30.540625,midi_notes,35.172917
4,4,Chromatic octaves,1043.713542,1045.244792,1008.540625,1010.071875,1.531250,midi_notes,35.172917
4,5,C major arpeggios,1047.645833,1048.679167,1012.472917,1013.506250,1.033333,midi_notes,35.172917
4,6,Anchored trill,1051.225000,1081.744792,1016.052083,1046.571875,30.519792,midi_notes,35.172917
5,1,C major scale 1 octave up/down,1259.867708,1290.851042,1224.694792,1255.678125,30.983333,midi_notes,35.172917
5,2,Max loudness chords,1290.851042,1301.034375,1255.678125,1265.861458,10.183333,inferred_gap_no_midi_notes,35.172917
5,3,"Hold G, 321",1301.034375,1331.455208,1265.861458,1296.282292,30.420833,midi_notes,35.172917
5,4,Chromatic octaves,1334.075000,1335.604167,1298.902083,1300.431250,1.529167,midi_notes,35.172917
5,5,C major arpeggios,1341.236458,1342.278125,1306.063542,1307.105208,1.041667,midi_notes,35.172917
5,6,Anchored trill,1345.184375,1376.292708,1310.011458,1341.119792,31.108333,midi_notes,35.172917
