block,exercise_index,exercise,midi_start_sec,midi_end_sec,midi_start_from_anchor_sec,midi_end_from_anchor_sec,duration_sec,source,midi_anchor_lowest_note_sec
1,1,C major scale 1 octave up/down,11.730208,42.487500,10.972917,41.730208,30.757292,midi_notes,0.757292
1,2,Max loudness chords,42.487500,53.444792,41.730208,52.687500,10.957292,inferred_gap_no_midi_notes,0.757292
1,3,"Hold G, 321",53.444792,83.416667,52.687500,82.659375,29.971875,midi_notes,0.757292
1,4,Chromatic octaves,86.264583,90.098958,85.507292,89.341667,3.834375,midi_notes,0.757292
1,5,C major arpeggios,90.098958,90.098958,89.341667,89.341667,0.000000,midi_notes,0.757292
1,6,Anchored trill,97.530208,127.806250,96.772917,127.048958,30.276042,midi_notes,0.757292
2,1,C major scale 1 octave up/down,319.034375,350.290625,318.277083,349.533333,31.256250,midi_notes,0.757292
2,2,Max loudness chords,350.290625,360.002083,349.533333,359.244792,9.711458,inferred_gap_no_midi_notes,0.757292
2,3,"Hold G, 321",360.002083,391.065625,359.244792,390.308333,31.063542,midi_notes,0.757292
2,4,Chromatic octaves,393.984375,407.346875,393.227083,406.589583,13.362500,midi_notes,0.757292
2,5,C major arpeggios,407.346875,407.346875,406.589583,406.589583,0.000000,midi_notes,0.757292
2,6,Anchored trill,409.333333,440.144792,408.576042,439.387500,30.811458,midi_notes,0.757292
3,1,C major scale 1 octave up/down,622.254167,653.911458,621.496875,653.154167,31.657292,midi_notes,0.757292
3,2,Max loudness chords,653.911458,662.846875,653.154167,662.089583,8.935417,inferred_gap_no_midi_notes,0.757292
3,3,"Hold G, 321",662.846875,694.506250,662.089583,693.748958,31.659375,midi_notes,0.757292
3,4,Chromatic octaves,697.633333,707.367708,696.876042,706.610417,9.734375,midi_notes,0.757292
3,5,C major arpeggios,707.367708,707.367708,706.610417,706.610417,0.000000,midi_notes,0.757292
3,6,Anchored trill,709.873958,740.502083,709.116667,739.744792,30.628125,midi_notes,0.757292
4,1,C major scale 1 octave up/down,914.039583,945.714583,913.282292,944.957292,31.675000,midi_notes,0.757292
4,2,Max loudness chords,945.714583,955.492708,944.957292,954.735417,9.778125,inferred_gap_no_midi_notes,0.757292
4,3,"Hold G, 321",955.492708,986.509375,954.735417,985.752083,31.016667,midi_notes,0.757292
4,4,Chromatic octaves,997.406250,1006.058333,996.648958,1005.301042,8.652083,midi_notes,0.757292
4,5,C major arpeggios,1006.058333,1006.058333,1005.301042,1005.301042,0.000000,midi_notes,0.757292
4,6,Anchored trill,1021.629167,1039.304167,1020.871875,1038.546875,17.675000,midi_notes,0.757292
5,1,C major scale 1 octave up/down,1239.696875,1270.946875,1238.939583,1270.189583,31.250000,midi_notes,0.757292
5,2,Max loudness chords,1270.946875,1280.079167,1270.189583,1279.321875,9.132292,inferred_gap_no_midi_notes,0.757292
5,3,"Hold G, 321",1280.079167,1314.876042,1279.321875,1314.118750,34.796875,midi_notes,0.757292
5,4,Chromatic octaves,1317.771875,1321.676042,1317.014583,1320.918750,3.904167,midi_notes,0.757292
5,5,C major arpeggios,1321.676042,1321.676042,1320.918750,1320.918750,0.000000,midi_notes,0.757292
5,6,Anchored trill,1327.428125,1358.334375,1326.670833,1357.577083,30.906250,midi_notes,0.757292
