file,block,exercise_index,exercise,midi_start_from_anchor_sec,midi_end_from_anchor_sec,emg_start_sec,emg_end_sec,duration_sec,emg_rms_mv,sample_count,source,midi_anchor_lowest_note_sec,emg_anchor_imu_punch_sec
004warm_01.csv,1,1,C major scale 1 octave up/down,15.225000,47.859375,33.099000,65.733375,32.634375,1.19906597,41095,midi_notes,19.762500,17.874000
004warm_01.csv,1,2,Max loudness chords,47.859375,65.939583,65.733375,83.813583,18.080208,0.55564567,22768,inferred_gap_no_midi_notes,19.762500,17.874000
004warm_01.csv,1,3,"Hold G, 321",65.939583,96.878125,83.813583,114.752125,30.938542,0.93181073,38959,midi_notes,19.762500,17.874000
004warm_01.csv,1,4,Chromatic octaves,114.243750,121.686458,132.117750,139.560458,7.442708,1.06737936,9372,midi_notes,19.762500,17.874000
004warm_01.csv,1,5,C major arpeggios,121.686458,121.686458,139.560458,139.560458,0.000000,nan,0,midi_notes,19.762500,17.874000
004warm_01.csv,1,6,Anchored trill,147.733333,178.137500,165.607333,196.011500,30.404167,0.37068919,38287,midi_notes,19.762500,17.874000
004warm_01.csv,2,1,C major scale 1 octave up/down,392.251042,422.785417,410.125042,440.659417,30.534375,0.24529823,38451,midi_notes,19.762500,17.874000
004warm_01.csv,2,2,Max loudness chords,422.785417,433.392708,440.659417,451.266708,10.607292,0.07193631,13357,inferred_gap_no_midi_notes,19.762500,17.874000
004warm_01.csv,2,3,"Hold G, 321",433.392708,464.269792,451.266708,482.143792,30.877083,0.21718081,38883,midi_notes,19.762500,17.874000
004warm_01.csv,2,4,Chromatic octaves,470.271875,471.800000,488.145875,489.674000,1.528125,0.22904533,1924,midi_notes,19.762500,17.874000
004warm_01.csv,2,5,C major arpeggios,471.800000,471.800000,489.674000,489.674000,0.000000,nan,0,midi_notes,19.762500,17.874000
004warm_01.csv,2,6,Anchored trill,485.989583,516.895833,503.863583,534.769833,30.906250,0.08078293,38919,midi_notes,19.762500,17.874000
004warm_01.csv,3,1,C major scale 1 octave up/down,667.589583,698.942708,685.463583,716.816708,31.353125,0.17704509,39482,midi_notes,19.762500,17.874000
004warm_01.csv,3,2,Max loudness chords,698.942708,708.829167,716.816708,726.703167,9.886458,0.05838180,12449,inferred_gap_no_midi_notes,19.762500,17.874000
004warm_01.csv,3,3,"Hold G, 321",708.829167,739.158333,726.703167,757.032333,30.329167,0.16541341,38192,midi_notes,19.762500,17.874000
004warm_01.csv,3,4,Chromatic octaves,742.512500,744.020833,760.386500,761.894833,1.508333,0.19552057,1900,midi_notes,19.762500,17.874000
004warm_01.csv,3,5,C major arpeggios,748.342708,749.553125,766.216708,767.427125,1.210417,0.17676234,1524,midi_notes,19.762500,17.874000
004warm_01.csv,3,6,Anchored trill,757.743750,788.076042,775.617750,805.950042,30.332292,0.07125417,38197,midi_notes,19.762500,17.874000
004warm_01.csv,4,1,C major scale 1 octave up/down,931.758333,962.609375,949.632333,980.483375,30.851042,0.15194125,38849,midi_notes,19.762500,17.874000
004warm_01.csv,4,2,Max loudness chords,962.609375,973.258333,980.483375,991.132333,10.648958,0.05350272,13410,inferred_gap_no_midi_notes,19.762500,17.874000
004warm_01.csv,4,3,"Hold G, 321",973.258333,1003.233333,991.132333,1021.107333,29.975000,0.14006860,37746,midi_notes,19.762500,17.874000
004warm_01.csv,4,4,Chromatic octaves,1010.483333,1011.986458,1028.357333,1029.860458,1.503125,0.16451288,1893,midi_notes,19.762500,17.874000
004warm_01.csv,4,5,C major arpeggios,1016.342708,1017.443750,1034.216708,1035.317750,1.101042,0.15492276,1387,midi_notes,19.762500,17.874000
004warm_01.csv,4,6,Anchored trill,1026.092708,1056.582292,1043.966708,1074.456292,30.489583,0.06102115,38395,midi_notes,19.762500,17.874000
004warm_01.csv,5,1,C major scale 1 octave up/down,1226.538542,1257.146875,1244.412542,1275.020875,30.608333,0.24693837,38543,midi_notes,19.762500,17.874000
004warm_01.csv,5,2,Max loudness chords,1257.146875,1269.228125,1275.020875,1287.102125,12.081250,0.05231835,15214,inferred_gap_no_midi_notes,19.762500,17.874000
004warm_01.csv,5,3,"Hold G, 321",1269.228125,1299.220833,1287.102125,1317.094833,29.992708,0.13957052,37768,midi_notes,19.762500,17.874000
004warm_01.csv,5,4,Chromatic octaves,1303.915625,1305.394792,1321.789625,1323.268792,1.479167,0.16087526,1863,midi_notes,19.762500,17.874000
004warm_01.csv,5,5,C major arpeggios,1309.798958,1310.897917,1327.672958,1328.771917,1.098958,0.15011467,1384,midi_notes,19.762500,17.874000
004warm_01.csv,5,6,Anchored trill,1317.255208,1347.927083,1335.129208,1365.801083,30.671875,0.06259107,38624,midi_notes,19.762500,17.874000
