block,exercise_index,exercise,midi_start_sec,midi_end_sec,midi_start_from_anchor_sec,midi_end_from_anchor_sec,duration_sec,source,midi_anchor_lowest_note_sec
1,1,C major scale 1 octave up/down,55.240625,87.134375,9.837500,41.731250,31.893750,midi_notes,45.403125
1,2,Max loudness chords,87.134375,99.014583,41.731250,53.611458,11.880208,inferred_gap_no_midi_notes,45.403125
1,3,"Hold G, 321",99.014583,118.314583,53.611458,72.911458,19.300000,midi_notes,45.403125
1,4,Chromatic octaves,145.213542,151.094792,99.810417,105.691667,5.881250,midi_notes,45.403125
1,5,C major arpeggios,155.715625,159.567708,110.312500,114.164583,3.852083,midi_notes,45.403125
1,6,Anchored trill,162.193750,192.621875,116.790625,147.218750,30.428125,midi_notes,45.403125
2,1,C major scale 1 octave up/down,367.733333,398.670833,322.330208,353.267708,30.937500,midi_notes,45.403125
2,2,Max loudness chords,398.670833,408.898958,353.267708,363.495833,10.228125,inferred_gap_no_midi_notes,45.403125
2,3,"Hold G, 321",408.898958,438.996875,363.495833,393.593750,30.097917,midi_notes,45.403125
2,4,Chromatic octaves,448.980208,454.366667,403.577083,408.963542,5.386458,midi_notes,45.403125
2,5,C major arpeggios,458.679167,459.968750,413.276042,414.565625,1.289583,midi_notes,45.403125
2,6,Anchored trill,462.156250,495.211458,416.753125,449.808333,33.055208,midi_notes,45.403125
3,1,C major scale 1 octave up/down,687.537500,718.316667,642.134375,672.913542,30.779167,midi_notes,45.403125
3,2,Max loudness chords,718.316667,726.342708,672.913542,680.939583,8.026042,inferred_gap_no_midi_notes,45.403125
3,3,"Hold G, 321",726.342708,757.834375,680.939583,712.431250,31.491667,midi_notes,45.403125
3,4,Chromatic octaves,760.206250,765.244792,714.803125,719.841667,5.038542,midi_notes,45.403125
3,5,C major arpeggios,766.793750,770.026042,721.390625,724.622917,3.232292,midi_notes,45.403125
3,6,Anchored trill,771.082292,802.783333,725.679167,757.380208,31.701042,midi_notes,45.403125
4,1,C major scale 1 octave up/down,982.198958,1016.447917,936.795833,971.044792,34.248958,midi_notes,45.403125
4,2,Max loudness chords,1016.447917,1044.978125,971.044792,999.575000,28.530208,inferred_gap_no_midi_notes,45.403125
4,3,"Hold G, 321",1044.978125,1076.176042,999.575000,1030.772917,31.197917,midi_notes,45.403125
4,4,Chromatic octaves,1078.492708,1083.276042,1033.089583,1037.872917,4.783333,midi_notes,45.403125
4,5,C major arpeggios,1085.761458,1088.612500,1040.358333,1043.209375,2.851042,midi_notes,45.403125
4,6,Anchored trill,1090.170833,1121.246875,1044.767708,1075.843750,31.076042,midi_notes,45.403125
5,1,C major scale 1 octave up/down,1373.322917,1404.573958,1327.919792,1359.170833,31.251042,midi_notes,45.403125
5,2,Max loudness chords,1404.573958,1412.730208,1359.170833,1367.327083,8.156250,inferred_gap_no_midi_notes,45.403125
5,3,"Hold G, 321",1412.730208,1443.111458,1367.327083,1397.708333,30.381250,midi_notes,45.403125
5,4,Chromatic octaves,1445.485417,1450.071875,1400.082292,1404.668750,4.586458,midi_notes,45.403125
5,5,C major arpeggios,1450.071875,1450.071875,1404.668750,1404.668750,0.000000,midi_notes,45.403125
5,6,Anchored trill,1455.885417,1487.540625,1410.482292,1442.137500,31.655208,midi_notes,45.403125
