block,exercise_index,exercise,midi_start_sec,midi_end_sec,midi_start_from_anchor_sec,midi_end_from_anchor_sec,duration_sec,source,midi_anchor_lowest_note_sec
1,1,C major scale 1 octave up/down,59.631250,90.571875,35.375000,66.315625,30.940625,midi_notes,24.256250
1,2,Max loudness chords,90.571875,136.241667,66.315625,111.985417,45.669792,inferred_gap_no_midi_notes,24.256250
1,3,"Hold G, 321",136.241667,166.847917,111.985417,142.591667,30.606250,midi_notes,24.256250
1,4,Chromatic octaves,174.230208,178.350000,149.973958,154.093750,4.119792,midi_notes,24.256250
1,5,C major arpeggios,184.632292,187.729167,160.376042,163.472917,3.096875,midi_notes,24.256250
1,6,Anchored trill,236.380208,267.661458,212.123958,243.405208,31.281250,midi_notes,24.256250
2,1,C major scale 1 octave up/down,524.961458,555.847917,500.705208,531.591667,30.886458,midi_notes,24.256250
2,2,Max loudness chords,555.847917,579.859375,531.591667,555.603125,24.011458,inferred_gap_no_midi_notes,24.256250
2,3,"Hold G, 321",579.859375,611.032292,555.603125,586.776042,31.172917,midi_notes,24.256250
2,4,Chromatic octaves,617.550000,621.500000,593.293750,597.243750,3.950000,midi_notes,24.256250
2,5,C major arpeggios,621.500000,621.500000,597.243750,597.243750,0.000000,midi_notes,24.256250
2,6,Anchored trill,656.771875,687.964583,632.515625,663.708333,31.192708,midi_notes,24.256250
3,1,C major scale 1 octave up/down,993.503125,1025.069792,969.246875,1000.813542,31.566667,midi_notes,24.256250
3,2,Max loudness chords,1025.069792,1072.712500,1000.813542,1048.456250,47.642708,inferred_gap_no_midi_notes,24.256250
3,3,"Hold G, 321",1072.712500,1103.856250,1048.456250,1079.600000,31.143750,midi_notes,24.256250
3,4,Chromatic octaves,1108.415625,1113.716667,1084.159375,1089.460417,5.301042,midi_notes,24.256250
3,5,C major arpeggios,1118.229167,1120.477083,1093.972917,1096.220833,2.247917,midi_notes,24.256250
3,6,Anchored trill,1201.095833,1233.110417,1176.839583,1208.854167,32.014583,midi_notes,24.256250
4,1,C major scale 1 octave up/down,1574.294792,1606.230208,1550.038542,1581.973958,31.935417,midi_notes,24.256250
4,2,Max loudness chords,1606.230208,1625.089583,1581.973958,1600.833333,18.859375,inferred_gap_no_midi_notes,24.256250
4,3,"Hold G, 321",1625.089583,1655.778125,1600.833333,1631.521875,30.688542,midi_notes,24.256250
4,4,Chromatic octaves,1761.658333,1766.028125,1737.402083,1741.771875,4.369792,midi_notes,24.256250
4,5,C major arpeggios,1766.028125,1766.028125,1741.771875,1741.771875,0.000000,midi_notes,24.256250
4,6,Anchored trill,1779.358333,1809.280208,1755.102083,1785.023958,29.921875,midi_notes,24.256250
5,1,C major scale 1 octave up/down,2040.240625,2071.213542,2015.984375,2046.957292,30.972917,midi_notes,24.256250
5,2,Max loudness chords,2071.213542,2093.292708,2046.957292,2069.036458,22.079167,inferred_gap_no_midi_notes,24.256250
5,3,"Hold G, 321",2093.292708,2124.588542,2069.036458,2100.332292,31.295833,midi_notes,24.256250
5,4,Chromatic octaves,2131.329167,2135.365625,2107.072917,2111.109375,4.036458,midi_notes,24.256250
5,5,C major arpeggios,2214.995833,2215.808333,2190.739583,2191.552083,0.812500,midi_notes,24.256250
5,6,Anchored trill,2224.490625,2256.386458,2200.234375,2232.130208,31.895833,midi_notes,24.256250
