file,block,exercise_index,exercise,midi_start_from_anchor_sec,midi_end_from_anchor_sec,emg_start_sec,emg_end_sec,duration_sec,emg_rms_mv,sample_count,source,midi_anchor_lowest_note_sec,emg_anchor_imu_punch_sec
009cold. (2).csv,1,1,C major scale 1 octave up/down,10.716667,42.439583,15.326917,47.049833,31.722917,0.47234255,39947,midi_notes,1.137500,4.610250
009cold. (2).csv,1,2,Max loudness chords,42.439583,59.409375,47.049833,64.019625,16.969792,0.34383970,21370,inferred_gap_no_midi_notes,1.137500,4.610250
009cold. (2).csv,1,3,"Hold G, 321",59.409375,89.845833,64.019625,94.456083,30.436458,0.28676453,38327,midi_notes,1.137500,4.610250
009cold. (2).csv,1,4,Chromatic octaves,92.121875,96.229167,96.732125,100.839417,4.107292,0.78073940,5172,midi_notes,1.137500,4.610250
009cold. (2).csv,1,5,C major arpeggios,100.058333,101.156250,104.668583,105.766500,1.097917,0.69056569,1383,midi_notes,1.137500,4.610250
009cold. (2).csv,1,6,Anchored trill,103.958333,134.626042,108.568583,139.236292,30.667708,0.14397086,38619,midi_notes,1.137500,4.610250
009cold. (2).csv,2,1,C major scale 1 octave up/down,377.410417,409.197917,382.020667,413.808167,31.787500,0.86107796,40028,midi_notes,1.137500,4.610250
009cold. (2).csv,2,2,Max loudness chords,409.197917,425.979167,413.808167,430.589417,16.781250,0.51935974,21132,inferred_gap_no_midi_notes,1.137500,4.610250
009cold. (2).csv,2,3,"Hold G, 321",425.979167,456.934375,430.589417,461.544625,30.955208,0.44288226,38981,midi_notes,1.137500,4.610250
009cold. (2).csv,2,4,Chromatic octaves,459.977083,464.281250,464.587333,468.891500,4.304167,1.20664661,5420,midi_notes,1.137500,4.610250
009cold. (2).csv,2,5,C major arpeggios,465.876042,469.101042,470.486292,473.711292,3.225000,0.91082561,4061,midi_notes,1.137500,4.610250
009cold. (2).csv,2,6,Anchored trill,471.641667,502.509375,476.251917,507.119625,30.867708,0.25983991,38871,midi_notes,1.137500,4.610250
009cold. (2).csv,3,1,C major scale 1 octave up/down,671.395833,702.265625,676.006083,706.875875,30.869792,1.07538014,38873,midi_notes,1.137500,4.610250
009cold. (2).csv,3,2,Max loudness chords,702.265625,719.669792,706.875875,724.280042,17.404167,0.67114139,21917,inferred_gap_no_midi_notes,1.137500,4.610250
009cold. (2).csv,3,3,"Hold G, 321",719.669792,750.468750,724.280042,755.079000,30.798958,0.49767670,38784,midi_notes,1.137500,4.610250
009cold. (2).csv,3,4,Chromatic octaves,752.980208,758.089583,757.590458,762.699833,5.109375,1.61803287,6434,midi_notes,1.137500,4.610250
009cold. (2).csv,3,5,C major arpeggios,759.926042,763.571875,764.536292,768.182125,3.645833,1.03044072,4591,midi_notes,1.137500,4.610250
009cold. (2).csv,3,6,Anchored trill,766.086458,796.659375,770.696708,801.269625,30.572917,0.33803242,38500,midi_notes,1.137500,4.610250
009cold. (2).csv,4,1,C major scale 1 octave up/down,1044.686458,1074.856250,1049.296708,1079.466500,30.169792,1.45034189,37992,midi_notes,1.137500,4.610250
009cold. (2).csv,4,2,Max loudness chords,1074.856250,1090.570833,1079.466500,1095.181083,15.714583,0.81049675,19788,inferred_gap_no_midi_notes,1.137500,4.610250
009cold. (2).csv,4,3,"Hold G, 321",1090.570833,1122.490625,1095.181083,1127.100875,31.919792,0.60093191,40196,midi_notes,1.137500,4.610250
009cold. (2).csv,4,4,Chromatic octaves,1125.108333,1129.154167,1129.718583,1133.764417,4.045833,1.69532933,5095,midi_notes,1.137500,4.610250
009cold. (2).csv,4,5,C major arpeggios,1130.839583,1134.160417,1135.449833,1138.770667,3.320833,1.44956666,4182,midi_notes,1.137500,4.610250
009cold. (2).csv,4,6,Anchored trill,1136.535417,1167.297917,1141.145667,1171.908167,30.762500,0.40665402,38738,midi_notes,1.137500,4.610250
009cold. (2).csv,5,1,C major scale 1 octave up/down,1238.007292,1268.503125,1242.617542,1273.113375,30.495833,1.21490183,38402,midi_notes,1.137500,4.610250
009cold. (2).csv,5,2,Max loudness chords,1268.503125,1285.566667,1273.113375,1290.176917,17.063542,0.75621929,21488,inferred_gap_no_midi_notes,1.137500,4.610250
009cold. (2).csv,5,3,"Hold G, 321",1285.566667,1317.081250,1290.176917,1321.691500,31.514583,0.54518490,39685,midi_notes,1.137500,4.610250
009cold. (2).csv,5,4,Chromatic octaves,1319.719792,1323.852083,1324.330042,1328.462333,4.132292,1.69880802,5204,midi_notes,1.137500,4.610250
009cold. (2).csv,5,5,C major arpeggios,1325.541667,1326.675000,1330.151917,1331.285250,1.133333,1.35324984,1427,midi_notes,1.137500,4.610250
009cold. (2).csv,5,6,Anchored trill,1331.357292,1362.409375,1335.967542,1367.019625,31.052083,0.35823233,39103,midi_notes,1.137500,4.610250
