block,exercise_index,exercise,midi_start_sec,midi_end_sec,midi_start_from_anchor_sec,midi_end_from_anchor_sec,duration_sec,source,midi_anchor_lowest_note_sec
1,1,C major scale 1 octave up/down,11.854167,43.577083,10.716667,42.439583,31.722917,midi_notes,1.137500
1,2,Max loudness chords,43.577083,60.546875,42.439583,59.409375,16.969792,inferred_gap_no_midi_notes,1.137500
1,3,"Hold G, 321",60.546875,90.983333,59.409375,89.845833,30.436458,midi_notes,1.137500
1,4,Chromatic octaves,93.259375,97.366667,92.121875,96.229167,4.107292,midi_notes,1.137500
1,5,C major arpeggios,101.195833,102.293750,100.058333,101.156250,1.097917,midi_notes,1.137500
1,6,Anchored trill,105.095833,135.763542,103.958333,134.626042,30.667708,midi_notes,1.137500
2,1,C major scale 1 octave up/down,378.547917,410.335417,377.410417,409.197917,31.787500,midi_notes,1.137500
2,2,Max loudness chords,410.335417,427.116667,409.197917,425.979167,16.781250,inferred_gap_no_midi_notes,1.137500
2,3,"Hold G, 321",427.116667,458.071875,425.979167,456.934375,30.955208,midi_notes,1.137500
2,4,Chromatic octaves,461.114583,465.418750,459.977083,464.281250,4.304167,midi_notes,1.137500
2,5,C major arpeggios,467.013542,470.238542,465.876042,469.101042,3.225000,midi_notes,1.137500
2,6,Anchored trill,472.779167,503.646875,471.641667,502.509375,30.867708,midi_notes,1.137500
3,1,C major scale 1 octave up/down,672.533333,703.403125,671.395833,702.265625,30.869792,midi_notes,1.137500
3,2,Max loudness chords,703.403125,720.807292,702.265625,719.669792,17.404167,inferred_gap_no_midi_notes,1.137500
3,3,"Hold G, 321",720.807292,751.606250,719.669792,750.468750,30.798958,midi_notes,1.137500
3,4,Chromatic octaves,754.117708,759.227083,752.980208,758.089583,5.109375,midi_notes,1.137500
3,5,C major arpeggios,761.063542,764.709375,759.926042,763.571875,3.645833,midi_notes,1.137500
3,6,Anchored trill,767.223958,797.796875,766.086458,796.659375,30.572917,midi_notes,1.137500
4,1,C major scale 1 octave up/down,1045.823958,1075.993750,1044.686458,1074.856250,30.169792,midi_notes,1.137500
4,2,Max loudness chords,1075.993750,1091.708333,1074.856250,1090.570833,15.714583,inferred_gap_no_midi_notes,1.137500
4,3,"Hold G, 321",1091.708333,1123.628125,1090.570833,1122.490625,31.919792,midi_notes,1.137500
4,4,Chromatic octaves,1126.245833,1130.291667,1125.108333,1129.154167,4.045833,midi_notes,1.137500
4,5,C major arpeggios,1131.977083,1135.297917,1130.839583,1134.160417,3.320833,midi_notes,1.137500
4,6,Anchored trill,1137.672917,1168.435417,1136.535417,1167.297917,30.762500,midi_notes,1.137500
5,1,C major scale 1 octave up/down,1239.144792,1269.640625,1238.007292,1268.503125,30.495833,midi_notes,1.137500
5,2,Max loudness chords,1269.640625,1286.704167,1268.503125,1285.566667,17.063542,inferred_gap_no_midi_notes,1.137500
5,3,"Hold G, 321",1286.704167,1318.218750,1285.566667,1317.081250,31.514583,midi_notes,1.137500
5,4,Chromatic octaves,1320.857292,1324.989583,1319.719792,1323.852083,4.132292,midi_notes,1.137500
5,5,C major arpeggios,1326.679167,1327.812500,1325.541667,1326.675000,1.133333,midi_notes,1.137500
5,6,Anchored trill,1332.494792,1363.546875,1331.357292,1362.409375,31.052083,midi_notes,1.137500
