block,exercise_index,exercise,midi_start_sec,midi_end_sec,midi_start_from_anchor_sec,midi_end_from_anchor_sec,duration_sec,source,midi_anchor_lowest_note_sec
1,1,C major scale 1 octave up/down,17.086458,52.175000,8.265625,43.354167,35.088542,midi_notes,8.820833
1,2,Max loudness chords,52.175000,64.491667,43.354167,55.670833,12.316667,inferred_gap_no_midi_notes,8.820833
1,3,"Hold G, 321",64.491667,95.752083,55.670833,86.931250,31.260417,midi_notes,8.820833
1,4,Chromatic octaves,98.719792,100.638542,89.898958,91.817708,1.918750,midi_notes,8.820833
1,5,C major arpeggios,106.944792,108.142708,98.123958,99.321875,1.197917,midi_notes,8.820833
1,6,Anchored trill,111.098958,142.462500,102.278125,133.641667,31.363542,midi_notes,8.820833
2,1,C major scale 1 octave up/down,362.073958,394.072917,353.253125,385.252083,31.998958,midi_notes,8.820833
2,2,Max loudness chords,394.072917,405.336458,385.252083,396.515625,11.263542,inferred_gap_no_midi_notes,8.820833
2,3,"Hold G, 321",405.336458,436.044792,396.515625,427.223958,30.708333,midi_notes,8.820833
2,4,Chromatic octaves,438.434375,444.642708,429.613542,435.821875,6.208333,midi_notes,8.820833
2,5,C major arpeggios,446.920833,448.155208,438.100000,439.334375,1.234375,midi_notes,8.820833
2,6,Anchored trill,453.383333,483.891667,444.562500,475.070833,30.508333,midi_notes,8.820833
3,1,C major scale 1 octave up/down,628.383333,659.342708,619.562500,650.521875,30.959375,midi_notes,8.820833
3,2,Max loudness chords,659.342708,668.897917,650.521875,660.077083,9.555208,inferred_gap_no_midi_notes,8.820833
3,3,"Hold G, 321",668.897917,698.713542,660.077083,689.892708,29.815625,midi_notes,8.820833
3,4,Chromatic octaves,700.359375,706.814583,691.538542,697.993750,6.455208,midi_notes,8.820833
3,5,C major arpeggios,708.630208,709.856250,699.809375,701.035417,1.226042,midi_notes,8.820833
3,6,Anchored trill,714.332292,744.196875,705.511458,735.376042,29.864583,midi_notes,8.820833
4,1,C major scale 1 octave up/down,938.509375,969.132292,929.688542,960.311458,30.622917,midi_notes,8.820833
4,2,Max loudness chords,969.132292,978.627083,960.311458,969.806250,9.494792,inferred_gap_no_midi_notes,8.820833
4,3,"Hold G, 321",978.627083,1008.586458,969.806250,999.765625,29.959375,midi_notes,8.820833
4,4,Chromatic octaves,1010.812500,1012.879167,1001.991667,1004.058333,2.066667,midi_notes,8.820833
4,5,C major arpeggios,1017.716667,1018.946875,1008.895833,1010.126042,1.230208,midi_notes,8.820833
4,6,Anchored trill,1022.126042,1052.833333,1013.305208,1044.012500,30.707292,midi_notes,8.820833
5,1,C major scale 1 octave up/down,1222.320833,1252.410417,1213.500000,1243.589583,30.089583,midi_notes,8.820833
5,2,Max loudness chords,1252.410417,1262.465625,1243.589583,1253.644792,10.055208,inferred_gap_no_midi_notes,8.820833
5,3,"Hold G, 321",1262.465625,1293.197917,1253.644792,1284.377083,30.732292,midi_notes,8.820833
5,4,Chromatic octaves,1296.102083,1302.346875,1287.281250,1293.526042,6.244792,midi_notes,8.820833
5,5,C major arpeggios,1304.842708,1306.066667,1296.021875,1297.245833,1.223958,midi_notes,8.820833
5,6,Anchored trill,1308.484375,1338.594792,1299.663542,1329.773958,30.110417,midi_notes,8.820833
