block,exercise_index,exercise,midi_start_sec,midi_end_sec,midi_start_from_anchor_sec,midi_end_from_anchor_sec,duration_sec,source,midi_anchor_lowest_note_sec
1,1,C major scale 1 octave up/down,36.497917,68.634375,8.585417,40.721875,32.136458,midi_notes,27.912500
1,2,Max loudness chords,68.634375,100.427083,40.721875,72.514583,31.792708,inferred_gap_no_midi_notes,27.912500
1,3,"Hold G, 321",100.427083,130.867708,72.514583,102.955208,30.440625,midi_notes,27.912500
1,4,Chromatic octaves,135.345833,137.232292,107.433333,109.319792,1.886458,midi_notes,27.912500
1,5,C major arpeggios,137.232292,137.232292,109.319792,109.319792,0.000000,midi_notes,27.912500
1,6,Anchored trill,165.048958,195.529167,137.136458,167.616667,30.480208,midi_notes,27.912500
2,1,C major scale 1 octave up/down,339.219792,370.003125,311.307292,342.090625,30.783333,midi_notes,27.912500
2,2,Max loudness chords,370.003125,393.568750,342.090625,365.656250,23.565625,inferred_gap_no_midi_notes,27.912500
2,3,"Hold G, 321",393.568750,424.039583,365.656250,396.127083,30.470833,midi_notes,27.912500
2,4,Chromatic octaves,426.165625,428.150000,398.253125,400.237500,1.984375,midi_notes,27.912500
2,5,C major arpeggios,428.150000,428.150000,400.237500,400.237500,0.000000,midi_notes,27.912500
2,6,Anchored trill,463.567708,493.651042,435.655208,465.738542,30.083333,midi_notes,27.912500
3,1,C major scale 1 octave up/down,650.463542,681.202083,622.551042,653.289583,30.738542,midi_notes,27.912500
3,2,Max loudness chords,681.202083,692.235417,653.289583,664.322917,11.033333,inferred_gap_no_midi_notes,27.912500
3,3,"Hold G, 321",692.235417,722.302083,664.322917,694.389583,30.066667,midi_notes,27.912500
3,4,Chromatic octaves,724.042708,726.006250,696.130208,698.093750,1.963542,midi_notes,27.912500
3,5,C major arpeggios,726.006250,726.006250,698.093750,698.093750,0.000000,midi_notes,27.912500
3,6,Anchored trill,745.470833,786.191667,717.558333,758.279167,40.720833,midi_notes,27.912500
4,1,C major scale 1 octave up/down,964.077083,994.520833,936.164583,966.608333,30.443750,midi_notes,27.912500
4,2,Max loudness chords,994.520833,1009.627083,966.608333,981.714583,15.106250,inferred_gap_no_midi_notes,27.912500
4,3,"Hold G, 321",1009.627083,1039.981250,981.714583,1012.068750,30.354167,midi_notes,27.912500
4,4,Chromatic octaves,1041.953125,1043.863542,1014.040625,1015.951042,1.910417,midi_notes,27.912500
4,5,C major arpeggios,1052.402083,1053.627083,1024.489583,1025.714583,1.225000,midi_notes,27.912500
4,6,Anchored trill,1058.586458,1088.861458,1030.673958,1060.948958,30.275000,midi_notes,27.912500
5,1,C major scale 1 octave up/down,1275.893750,1306.551042,1247.981250,1278.638542,30.657292,midi_notes,27.912500
5,2,Max loudness chords,1306.551042,1318.677083,1278.638542,1290.764583,12.126042,inferred_gap_no_midi_notes,27.912500
5,3,"Hold G, 321",1318.677083,1348.805208,1290.764583,1320.892708,30.128125,midi_notes,27.912500
5,4,Chromatic octaves,1350.605208,1352.557292,1322.692708,1324.644792,1.952083,midi_notes,27.912500
5,5,C major arpeggios,1359.500000,1360.709375,1331.587500,1332.796875,1.209375,midi_notes,27.912500
5,6,Anchored trill,1367.286458,1397.447917,1339.373958,1369.535417,30.161458,midi_notes,27.912500
