file,block,exercise_index,exercise,midi_start_from_anchor_sec,midi_end_from_anchor_sec,emg_start_sec,emg_end_sec,duration_sec,emg_rms_mv,sample_count,source,midi_anchor_lowest_note_sec,emg_anchor_imu_punch_sec
012warm_01 (2).csv,1,1,C major scale 1 octave up/down,17.734375,49.227083,35.432875,66.925583,31.492708,0.42551482,39657,midi_notes,26.365625,17.698500
012warm_01 (2).csv,1,2,Max loudness chords,49.227083,79.103125,66.925583,96.801625,29.876042,0.16353907,37622,inferred_gap_no_midi_notes,26.365625,17.698500
012warm_01 (2).csv,1,3,"Hold G, 321",79.103125,109.053125,96.801625,126.751625,29.950000,0.41880687,37715,midi_notes,26.365625,17.698500
012warm_01 (2).csv,1,4,Chromatic octaves,117.004167,123.883333,134.702667,141.581833,6.879167,0.40849935,8663,midi_notes,26.365625,17.698500
012warm_01 (2).csv,1,5,C major arpeggios,140.837500,141.972917,158.536000,159.671417,1.135417,0.34739734,1430,midi_notes,26.365625,17.698500
012warm_01 (2).csv,1,6,Anchored trill,159.529167,189.704167,177.227667,207.402667,30.175000,0.16995152,37998,midi_notes,26.365625,17.698500
012warm_01 (2).csv,2,1,C major scale 1 octave up/down,406.952083,437.765625,424.650583,455.464125,30.813542,0.36883176,38802,midi_notes,26.365625,17.698500
012warm_01 (2).csv,2,2,Max loudness chords,437.765625,470.622917,455.464125,488.321417,32.857292,0.12575403,41376,inferred_gap_no_midi_notes,26.365625,17.698500
012warm_01 (2).csv,2,3,"Hold G, 321",470.622917,501.675000,488.321417,519.373500,31.052083,0.37147643,39102,midi_notes,26.365625,17.698500
012warm_01 (2).csv,2,4,Chromatic octaves,512.796875,518.985417,530.495375,536.683917,6.188542,0.44944015,7793,midi_notes,26.365625,17.698500
012warm_01 (2).csv,2,5,C major arpeggios,523.553125,527.802083,541.251625,545.500583,4.248958,0.29118883,5350,midi_notes,26.365625,17.698500
012warm_01 (2).csv,2,6,Anchored trill,532.305208,562.333333,550.003708,580.031833,30.028125,0.22454652,37813,midi_notes,26.365625,17.698500
012warm_01 (2).csv,3,1,C major scale 1 octave up/down,676.202083,705.818750,693.900583,723.517250,29.616667,0.39307546,37295,midi_notes,26.365625,17.698500
012warm_01 (2).csv,3,2,Max loudness chords,705.818750,752.787500,723.517250,770.486000,46.968750,0.11406627,59146,inferred_gap_no_midi_notes,26.365625,17.698500
012warm_01 (2).csv,3,3,"Hold G, 321",752.787500,783.029167,770.486000,800.727667,30.241667,0.37225781,38082,midi_notes,26.365625,17.698500
012warm_01 (2).csv,3,4,Chromatic octaves,787.170833,793.007292,804.869333,810.705792,5.836458,0.42390859,7349,midi_notes,26.365625,17.698500
012warm_01 (2).csv,3,5,C major arpeggios,797.111458,798.109375,814.809958,815.807875,0.997917,0.28189922,1257,midi_notes,26.365625,17.698500
012warm_01 (2).csv,3,6,Anchored trill,807.334375,837.702083,825.032875,855.400583,30.367708,0.18698592,38241,midi_notes,26.365625,17.698500
012warm_01 (2).csv,4,1,C major scale 1 octave up/down,973.817708,1004.259375,991.516208,1021.957875,30.441667,0.36905137,38334,midi_notes,26.365625,17.698500
012warm_01 (2).csv,4,2,Max loudness chords,1004.259375,1029.676042,1021.957875,1047.374542,25.416667,0.12852341,32007,inferred_gap_no_midi_notes,26.365625,17.698500
012warm_01 (2).csv,4,3,"Hold G, 321",1029.676042,1060.168750,1047.374542,1077.867250,30.492708,0.35402483,38398,midi_notes,26.365625,17.698500
012warm_01 (2).csv,4,4,Chromatic octaves,1063.227083,1069.182292,1080.925583,1086.880792,5.955208,0.43497409,7499,midi_notes,26.365625,17.698500
012warm_01 (2).csv,4,5,C major arpeggios,1073.413542,1077.514583,1091.112042,1095.213083,4.101042,0.27785331,5165,midi_notes,26.365625,17.698500
012warm_01 (2).csv,4,6,Anchored trill,1085.813542,1115.363542,1103.512042,1133.062042,29.550000,0.15469426,37211,midi_notes,26.365625,17.698500
012warm_01 (2).csv,5,1,C major scale 1 octave up/down,1259.973958,1290.191667,1277.672458,1307.890167,30.217708,0.41067294,38052,midi_notes,26.365625,17.698500
012warm_01 (2).csv,5,2,Max loudness chords,1290.191667,1337.666667,1307.890167,1355.365167,47.475000,0.09577864,59784,inferred_gap_no_midi_notes,26.365625,17.698500
012warm_01 (2).csv,5,3,"Hold G, 321",1337.666667,1369.153125,1355.365167,1386.851625,31.486458,0.36459726,39649,midi_notes,26.365625,17.698500
012warm_01 (2).csv,5,4,Chromatic octaves,1383.436458,1389.517708,1401.134958,1407.216208,6.081250,0.43134715,7658,midi_notes,26.365625,17.698500
012warm_01 (2).csv,5,5,C major arpeggios,1397.971875,1401.735417,1415.670375,1419.433917,3.763542,0.29320457,4739,midi_notes,26.365625,17.698500
012warm_01 (2).csv,5,6,Anchored trill,1409.271875,1439.537500,1426.970375,1457.236000,30.265625,0.13755604,38112,midi_notes,26.365625,17.698500
