block,exercise_index,exercise,midi_start_sec,midi_end_sec,midi_start_from_anchor_sec,midi_end_from_anchor_sec,duration_sec,source,midi_anchor_lowest_note_sec
1,1,C major scale 1 octave up/down,44.100000,75.592708,17.734375,49.227083,31.492708,midi_notes,26.365625
1,2,Max loudness chords,75.592708,105.468750,49.227083,79.103125,29.876042,inferred_gap_no_midi_notes,26.365625
1,3,"Hold G, 321",105.468750,135.418750,79.103125,109.053125,29.950000,midi_notes,26.365625
1,4,Chromatic octaves,143.369792,150.248958,117.004167,123.883333,6.879167,midi_notes,26.365625
1,5,C major arpeggios,167.203125,168.338542,140.837500,141.972917,1.135417,midi_notes,26.365625
1,6,Anchored trill,185.894792,216.069792,159.529167,189.704167,30.175000,midi_notes,26.365625
2,1,C major scale 1 octave up/down,433.317708,464.131250,406.952083,437.765625,30.813542,midi_notes,26.365625
2,2,Max loudness chords,464.131250,496.988542,437.765625,470.622917,32.857292,inferred_gap_no_midi_notes,26.365625
2,3,"Hold G, 321",496.988542,528.040625,470.622917,501.675000,31.052083,midi_notes,26.365625
2,4,Chromatic octaves,539.162500,545.351042,512.796875,518.985417,6.188542,midi_notes,26.365625
2,5,C major arpeggios,549.918750,554.167708,523.553125,527.802083,4.248958,midi_notes,26.365625
2,6,Anchored trill,558.670833,588.698958,532.305208,562.333333,30.028125,midi_notes,26.365625
3,1,C major scale 1 octave up/down,702.567708,732.184375,676.202083,705.818750,29.616667,midi_notes,26.365625
3,2,Max loudness chords,732.184375,779.153125,705.818750,752.787500,46.968750,inferred_gap_no_midi_notes,26.365625
3,3,"Hold G, 321",779.153125,809.394792,752.787500,783.029167,30.241667,midi_notes,26.365625
3,4,Chromatic octaves,813.536458,819.372917,787.170833,793.007292,5.836458,midi_notes,26.365625
3,5,C major arpeggios,823.477083,824.475000,797.111458,798.109375,0.997917,midi_notes,26.365625
3,6,Anchored trill,833.700000,864.067708,807.334375,837.702083,30.367708,midi_notes,26.365625
4,1,C major scale 1 octave up/down,1000.183333,1030.625000,973.817708,1004.259375,30.441667,midi_notes,26.365625
4,2,Max loudness chords,1030.625000,1056.041667,1004.259375,1029.676042,25.416667,inferred_gap_no_midi_notes,26.365625
4,3,"Hold G, 321",1056.041667,1086.534375,1029.676042,1060.168750,30.492708,midi_notes,26.365625
4,4,Chromatic octaves,1089.592708,1095.547917,1063.227083,1069.182292,5.955208,midi_notes,26.365625
4,5,C major arpeggios,1099.779167,1103.880208,1073.413542,1077.514583,4.101042,midi_notes,26.365625
4,6,Anchored trill,1112.179167,1141.729167,1085.813542,1115.363542,29.550000,midi_notes,26.365625
5,1,C major scale 1 octave up/down,1286.339583,1316.557292,1259.973958,1290.191667,30.217708,midi_notes,26.365625
5,2,Max loudness chords,1316.557292,1364.032292,1290.191667,1337.666667,47.475000,inferred_gap_no_midi_notes,26.365625
5,3,"Hold G, 321",1364.032292,1395.518750,1337.666667,1369.153125,31.486458,midi_notes,26.365625
5,4,Chromatic octaves,1409.802083,1415.883333,1383.436458,1389.517708,6.081250,midi_notes,26.365625
5,5,C major arpeggios,1424.337500,1428.101042,1397.971875,1401.735417,3.763542,midi_notes,26.365625
5,6,Anchored trill,1435.637500,1465.903125,1409.271875,1439.537500,30.265625,midi_notes,26.365625
