analysis_file,file,block,exercise_index,exercise,midi_start_from_anchor_sec,midi_end_from_anchor_sec,emg_start_sec,emg_end_sec,duration_sec,emg_rms_mv,sample_count,source,midi_anchor_lowest_note_sec,emg_anchor_imu_punch_sec
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,1,1,C major scale 1 octave up/down,12.387500,43.663542,20.703500,51.979542,31.276042,0.20334564,39384,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,1,2,Max loudness chords,43.663542,55.443750,51.979542,63.759750,11.780208,0.18642878,14835,inferred_gap_no_midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,1,3,"Hold G, 321",55.443750,85.258333,63.759750,93.574333,29.814583,0.76974991,37544,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,1,4,Chromatic octaves,87.404167,93.420833,95.720167,101.736833,6.016667,0.32550409,7577,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,1,5,C major arpeggios,96.262500,99.960417,104.578500,108.276417,3.697917,0.23074393,4657,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,1,6,Anchored trill,102.735417,131.987500,111.051417,140.303500,29.252083,0.15861362,36836,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,2,1,C major scale 1 octave up/down,320.089583,352.719792,328.405583,361.035792,32.630208,0.22291851,41090,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,2,2,Max loudness chords,352.719792,365.523958,361.035792,373.839958,12.804167,0.17604251,16124,inferred_gap_no_midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,2,3,"Hold G, 321",365.523958,396.014583,373.839958,404.330583,30.490625,0.23336874,38396,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,2,4,Chromatic octaves,399.894792,405.790625,408.210792,414.106625,5.895833,0.31430712,7424,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,2,5,C major arpeggios,407.985417,411.489583,416.301417,419.805583,3.504167,0.19889491,4413,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,2,6,Anchored trill,414.078125,444.777083,422.394125,453.093083,30.698958,0.17414640,38658,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,3,1,C major scale 1 octave up/down,638.140625,671.632292,646.456625,679.948292,33.491667,0.21808964,42175,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,3,2,Max loudness chords,671.632292,681.272917,679.948292,689.588917,9.640625,0.20662080,12140,inferred_gap_no_midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,3,3,"Hold G, 321",681.272917,710.763542,689.588917,719.079542,29.490625,0.22668601,37136,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,3,4,Chromatic octaves,713.591667,719.459375,721.907667,727.775375,5.867708,0.30672780,7389,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,3,5,C major arpeggios,721.487500,725.060417,729.803500,733.376417,3.572917,0.19664505,4500,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,3,6,Anchored trill,728.156250,756.252083,736.472250,764.568083,28.095833,0.11771420,35380,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,4,1,C major scale 1 octave up/down,933.814583,960.665625,942.130583,968.981625,26.851042,0.29637864,33813,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,4,2,Max loudness chords,960.665625,970.208333,968.981625,978.524333,9.542708,0.25244838,12016,inferred_gap_no_midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,4,3,"Hold G, 321",970.208333,1001.714583,978.524333,1010.030583,31.506250,0.77160867,39675,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,4,4,Chromatic octaves,1003.946875,1009.722917,1012.262875,1018.038917,5.776042,0.33039931,7273,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,4,5,C major arpeggios,1011.513542,1014.933333,1019.829542,1023.249333,3.419792,0.25348985,4307,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,4,6,Anchored trill,1017.333333,1050.052083,1025.649333,1058.368083,32.718750,0.12329269,41201,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,5,1,C major scale 1 octave up/down,1250.543750,1281.303125,1258.859750,1289.619125,30.759375,0.22940474,38734,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,5,2,Max loudness chords,1281.303125,1290.586458,1289.619125,1298.902458,9.283333,0.16691678,11690,inferred_gap_no_midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,5,3,"Hold G, 321",1290.586458,1320.630208,1298.902458,1328.946208,30.043750,0.30051436,37833,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,5,4,Chromatic octaves,1323.286458,1328.690625,1331.602458,1337.006625,5.404167,0.40251442,6805,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,5,5,C major arpeggios,1328.690625,1328.690625,1337.006625,1337.006625,0.000000,nan,0,midi_notes,0.490625,8.316000
002cold__002cold_01_emg_exercise_summary.csv,002cold_01.csv,5,6,Anchored trill,1337.448958,1368.121875,1345.764958,1376.437875,30.672917,0.17777831,38626,midi_notes,0.490625,8.316000
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,1,1,C major scale 1 octave up/down,17.103125,48.153125,22.894625,53.944625,31.050000,0.12462696,39100,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,1,2,Max loudness chords,48.153125,61.620833,53.944625,67.412333,13.467708,0.20644404,16959,inferred_gap_no_midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,1,3,"Hold G, 321",61.620833,90.718750,67.412333,96.510250,29.097917,0.18851225,36642,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,1,4,Chromatic octaves,94.927083,105.163542,100.718583,110.955042,10.236458,0.23359535,12891,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,1,5,C major arpeggios,108.229167,111.783333,114.020667,117.574833,3.554167,0.22996500,4476,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,1,6,Anchored trill,115.190625,145.866667,120.982125,151.658167,30.676042,0.18344343,38629,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,2,1,C major scale 1 octave up/down,332.475000,363.922917,338.266500,369.714417,31.447917,0.10994181,39601,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,2,2,Max loudness chords,363.922917,376.714583,369.714417,382.506083,12.791667,0.20063053,16108,inferred_gap_no_midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,2,3,"Hold G, 321",376.714583,406.667708,382.506083,412.459208,29.953125,0.17472532,37719,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,2,4,Chromatic octaves,408.866667,414.975000,414.658167,420.766500,6.108333,0.20812739,7692,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,2,5,C major arpeggios,417.356250,418.630208,423.147750,424.421708,1.273958,0.17952979,1604,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,2,6,Anchored trill,424.608333,455.073958,430.399833,460.865458,30.465625,0.18751188,38365,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,3,1,C major scale 1 octave up/down,630.671875,662.581250,636.463375,668.372750,31.909375,0.11532643,40182,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,3,2,Max loudness chords,662.581250,673.996875,668.372750,679.788375,11.415625,0.18791449,14375,inferred_gap_no_midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,3,3,"Hold G, 321",673.996875,705.058333,679.788375,710.849833,31.061458,0.17009453,39115,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,3,4,Chromatic octaves,707.542708,713.086458,713.334208,718.877958,5.543750,0.18704581,6981,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,3,5,C major arpeggios,715.238542,719.015625,721.030042,724.807125,3.777083,0.18938026,4757,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,3,6,Anchored trill,721.956250,751.960417,727.747750,757.751917,30.004167,0.18764925,37783,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,4,1,C major scale 1 octave up/down,941.467708,972.583333,947.259208,978.374833,31.115625,0.10768568,39183,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,4,2,Max loudness chords,972.583333,984.428125,978.374833,990.219625,11.844792,0.18787225,14916,inferred_gap_no_midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,4,3,"Hold G, 321",984.428125,1015.203125,990.219625,1020.994625,30.775000,0.17057512,38753,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,4,4,Chromatic octaves,1018.990625,1025.077083,1024.782125,1030.868583,6.086458,0.20823583,7664,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,4,5,C major arpeggios,1031.084375,1032.372917,1036.875875,1038.164417,1.288542,0.20117171,1623,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,4,6,Anchored trill,1035.769792,1065.728125,1041.561292,1071.519625,29.958333,0.17597377,37726,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,5,1,C major scale 1 octave up/down,1227.220833,1256.562500,1233.012333,1262.354000,29.341667,0.09874571,36948,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,5,2,Max loudness chords,1256.562500,1267.844792,1262.354000,1273.636292,11.282292,0.18584558,14208,inferred_gap_no_midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,5,3,"Hold G, 321",1267.844792,1286.538542,1273.636292,1292.330042,18.693750,0.16921057,23540,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,5,4,Chromatic octaves,1288.503125,1295.973958,1294.294625,1301.765458,7.470833,0.17927097,9408,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,5,5,C major arpeggios,1297.956250,1301.691667,1303.747750,1307.483167,3.735417,0.20898229,4704,midi_notes,25.831250,5.791500
002warm__002warm_01_emg_exercise_summary.csv,002warm_01.csv,5,6,Anchored trill,1304.501042,1334.902083,1310.292542,1340.693583,30.401042,0.19166590,38282,midi_notes,25.831250,5.791500
003cold__003cold_01_emg_exercise_summary.csv,003cold_01.csv,1,1,C major scale 1 octave up/down,10.972917,41.730208,19.990917,50.748208,30.757292,0.49025862,38732,midi_notes,0.757292,9.018000
003cold__003cold_01_emg_exercise_summary.csv,003cold_01.csv,1,2,Max loudness chords,41.730208,52.687500,50.748208,61.705500,10.957292,0.58063188,13798,inferred_gap_no_midi_notes,0.757292,9.018000
003cold__003cold_01_emg_exercise_summary.csv,003cold_01.csv,1,3,"Hold G, 321",52.687500,82.659375,61.705500,91.677375,29.971875,1.09082412,37742,midi_notes,0.757292,9.018000
003cold__003cold_01_emg_exercise_summary.csv,003cold_01.csv,1,4,Chromatic octaves,85.507292,89.341667,94.525292,98.359667,3.834375,1.09541180,4829,midi_notes,0.757292,9.018000
003cold__003cold_01_emg_exercise_summary.csv,003cold_01.csv,1,5,C major arpeggios,89.341667,89.341667,98.359667,98.359667,0.000000,nan,0,midi_notes,0.757292,9.018000
003cold__003cold_01_emg_exercise_summary.csv,003cold_01.csv,1,6,Anchored trill,96.772917,127.048958,105.790917,136.066958,30.276042,2.23448989,38125,midi_notes,0.757292,9.018000
003cold__003cold_01_emg_exercise_summary.csv,003cold_01.csv,2,1,C major scale 1 octave up/down,318.277083,349.533333,327.295083,358.551333,31.256250,0.17363547,39360,midi_notes,0.757292,9.018000
003cold__003cold_01_emg_exercise_summary.csv,003cold_01.csv,2,2,Max loudness chords,349.533333,359.244792,358.551333,368.262792,9.711458,0.60621216,12229,inferred_gap_no_midi_notes,0.757292,9.018000
003cold__003cold_01_emg_exercise_summary.csv,003cold_01.csv,2,3,"Hold G, 321",359.244792,390.308333,368.262792,399.326333,31.063542,1.36294275,39117,midi_notes,0.757292,9.018000
003cold__003cold_01_emg_exercise_summary.csv,003cold_01.csv,2,4,Chromatic octaves,393.227083,406.589583,402.245083,415.607583,13.362500,2.53680618,16827,midi_notes,0.757292,9.018000
