condition,temperature_file,block,temp_anchor_sec,sync_lead,sync_jump_c,block_start_temp_sec,block_end_temp_sec,finger_temp_start_c,finger_temp_end_c,finger_temp_drop_c
001cold,5.12_001cold.csv,1,39.000,lead3,4.850,52.800,167.686,25.7820,23.9480,1.8340
001cold,5.12_001cold.csv,2,39.000,lead3,4.850,359.494,476.246,21.8020,21.2060,0.5960
001cold,5.12_001cold.csv,3,39.000,lead3,4.850,657.433,774.905,20.1020,19.9520,0.1500
001cold,5.12_001cold.csv,4,39.000,lead3,4.850,962.784,1078.779,18.7820,18.5160,0.2660
001cold,5.12_001cold.csv,5,39.000,lead3,4.850,1261.940,1378.850,17.8500,17.7380,0.1120
001warm,5.12_001warm.csv,1,47.000,lead4,2.410,64.995,206.593,32.1160,30.8160,1.3000
001warm,5.12_001warm.csv,2,47.000,lead4,2.410,386.425,508.073,31.0860,31.2660,-0.1800
001warm,5.12_001warm.csv,3,47.000,lead4,2.410,675.823,796.581,31.6380,30.8020,0.8360
001warm,5.12_001warm.csv,4,47.000,lead4,2.410,979.751,1093.572,31.1820,30.5260,0.6560
001warm,5.12_001warm.csv,5,47.000,lead4,2.410,1271.695,1388.120,31.2840,30.5180,0.7660
002cold,5.12_002cold.csv,1,11.000,lead3,4.650,23.387,142.988,24.1440,21.8480,2.2960
002cold,5.12_002cold.csv,2,11.000,lead3,4.650,331.090,455.777,18.7880,19.1640,-0.3760
002cold,5.12_002cold.csv,3,11.000,lead3,4.650,649.141,767.252,19.7000,18.9820,0.7180
002cold,5.12_002cold.csv,4,11.000,lead3,4.650,944.815,1061.052,16.6580,14.5100,2.1480
002cold,5.12_002cold.csv,5,11.000,lead3,4.650,1261.544,1379.122,14.7660,13.5320,1.2340
002warm,5.12_002warm.csv,1,26.000,lead4,1.020,43.103,171.867,25.1100,25.6180,-0.5080
002warm,5.12_002warm.csv,2,26.000,lead4,1.020,358.475,481.074,26.6220,26.2860,0.3360
002warm,5.12_002warm.csv,3,26.000,lead4,1.020,656.672,777.960,26.5900,27.7900,-1.2000
002warm,5.12_002warm.csv,4,26.000,lead4,1.020,967.468,1091.728,28.2200,28.3700,-0.1500
002warm,5.12_002warm.csv,5,26.000,lead4,1.020,1253.221,1360.902,28.6000,28.7120,-0.1120
003cold,5.12_003cold.csv,1,13.000,lead3,8.970,23.973,140.049,28.5100,26.4180,2.0920
003cold,5.12_003cold.csv,2,13.000,lead3,8.970,331.277,452.387,23.4700,22.1940,1.2760
003cold,5.12_003cold.csv,3,13.000,lead3,8.970,634.497,752.745,20.1240,19.1180,1.0060
003cold,5.12_003cold.csv,4,13.000,lead3,8.970,926.282,1051.547,17.7240,16.9040,0.8200
003cold,5.12_003cold.csv,5,13.000,lead3,8.970,1251.940,1370.577,16.0260,15.5975,0.4285
003warm,5.12_003warm.csv,1,17.000,lead4,1.500,56.386,260.241,34.0300,32.5720,1.4580
003warm,5.12_003warm.csv,2,17.000,lead4,1.500,398.770,567.083,32.5920,31.8360,0.7560
003warm,5.12_003warm.csv,3,17.000,lead4,1.500,660.521,786.661,33.0840,33.1580,-0.0740
003warm,5.12_003warm.csv,4,17.000,lead4,1.500,971.263,1104.283,34.3960,33.5640,0.8320
003warm,5.12_003warm.csv,5,17.000,lead4,1.500,1279.071,1400.463,34.5100,34.6280,-0.1180
004cold,5.14_004cold.csv,1,31.000,lead3,4.650,45.513,160.735,27.4900,24.5520,2.9380
004cold,5.14_004cold.csv,2,31.000,lead3,4.650,374.182,494.395,21.6940,20.6720,1.0220
004cold,5.14_004cold.csv,3,31.000,lead3,4.650,683.715,805.842,19.7880,19.3080,0.4800
004cold,5.14_004cold.csv,4,31.000,lead3,4.650,982.001,1096.801,18.9540,18.0200,0.9340
004cold,5.14_004cold.csv,5,31.000,lead3,4.650,1272.662,1395.657,17.2300,16.8900,0.3400
004warm,5.14_004warm_2.csv,1,33.000,lead4,2.090,48.225,211.137,30.5660,28.9320,1.6340
004warm,5.14_004warm_2.csv,2,33.000,lead4,2.090,425.251,549.896,31.8200,30.2240,1.5960
004warm,5.14_004warm_2.csv,3,33.000,lead4,2.090,700.590,821.076,32.6600,30.7960,1.8640
004warm,5.14_004warm_2.csv,4,33.000,lead4,2.090,964.758,1089.582,32.6040,31.4380,1.1660
004warm,5.14_004warm_2.csv,5,33.000,lead4,2.090,1259.539,1380.927,31.8000,30.6560,1.1440
